Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Ismael Aaneba\Ismael-Aaneba,fr FRA,FWDF,Strasbourg,fr Ligue 1,21-264,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
2,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-172,1990,12.7,22,1.73,19,2,1,0,0,0,2,0.16,2,0,0,0,0,0,0,Matches
3,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,de Bundesliga,22-144,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-142,1987,23.0,7,0.30,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
5,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-195,1992,14.7,28,1.91,18,4,2,0,2,2,1,0.07,1,0,0,0,0,0,0,Matches
6,Laurent Abergel\Laurent-Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-016,1993,19.6,23,1.17,15,1,0,1,2,4,4,0.20,2,0,0,0,1,1,0,Matches
7,Charles Abi\Charles-Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-311,2000,4.9,5,1.02,2,1,1,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
8,Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-156,1995,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
9,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-217,1986,13.6,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
10,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,eng Premier League,23-138,1997,10.8,18,1.66,11,0,1,3,3,0,2,0.18,1,0,0,0,1,0,0,Matches
11,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,de Bundesliga,30-327,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
12,Gennaro Acampora\Gennaro-Acampora,it ITA,MFFW,Spezia,it Serie A,26-325,1994,3.3,5,1.51,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
13,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Lazio,it Serie A,33-007,1988,18.3,15,0.82,14,0,0,0,0,1,3,0.16,3,0,0,0,0,0,0,Matches
14,Ragnar Ache\Ragnar-Ache,de GER,FW,Eint Frankfurt,de Bundesliga,22-204,1998,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
15,Marcos Acuña\Marcos-Acuna,ar ARG,DF,Sevilla,es La Liga,29-112,1991,14.7,30,2.04,21,3,3,2,0,1,2,0.14,1,0,0,1,0,0,0,Matches
16,Che Adams\Che-Adams,eng ENG,FW,Southampton,eng Premier League,24-219,1996,19.3,40,2.07,29,0,1,4,6,0,6,0.31,5,0,0,0,1,0,0,Matches
17,Tyler Adams\Tyler-Adams,us USA,MFDF,RB Leipzig,de Bundesliga,22-003,1999,12.7,14,1.10,12,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
18,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,de Bundesliga,27-270,1993,1.7,7,4.09,5,0,0,1,1,0,2,1.17,1,0,0,1,0,0,0,Matches
19,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-146,1997,19.0,9,0.47,9,0,0,0,0,0,1,0.05,1,0,0,0,0,0,0,Matches
20,Bobby Adekanye\Bobby-Adekanye,nl NED,FWMF,Cádiz,es La Liga,22-003,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
21,Yacine Adli\Yacine-Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-203,2000,15.2,58,3.82,44,6,3,0,3,2,7,0.46,6,1,0,0,0,0,0,Matches
22,Andrea Adorante\Andrea-Adorante,it ITA,FW,Parma,it Serie A,21-012,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
23,Adrián\Adrian,es ESP,GK,Liverpool,eng Premier League,34-045,1987,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
24,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DFMF,Alavés,es La Liga,24-283,1996,8.1,14,1.73,10,3,0,0,0,1,2,0.25,2,0,0,0,0,0,0,Matches
25,Lucien Agoume\Lucien-Agoume,fr FRA,MF,Spezia,it Serie A,19-008,2002,7.8,4,0.52,4,0,0,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
26,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,de Bundesliga,21-143,1999,4.1,3,0.74,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0,0,Matches
27,Kevin Agudelo\Kevin-Agudelo,co COL,FW,Spezia,it Serie A,22-095,1998,9.4,21,2.23,9,1,3,3,3,2,2,0.21,1,0,0,1,0,0,0,Matches
28,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24-324,1996,22.0,12,0.55,10,0,0,2,0,0,1,0.05,1,0,0,0,0,0,0,Matches
29,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,32-260,1988,1.6,4,2.52,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
30,Ruben Aguilar\Ruben-Aguilar,fr FRA,DF,Monaco,fr Ligue 1,27-297,1993,18.4,58,3.15,47,5,1,1,4,0,6,0.33,4,0,1,0,1,0,0,Matches
31,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18-325,2002,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
32,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-230,1999,8.6,8,0.93,3,2,0,0,2,1,0,0.00,0,0,0,0,0,0,0,Matches
33,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,20-331,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
34,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26-334,1994,14.2,16,1.13,13,0,0,2,0,1,4,0.28,2,0,0,1,0,1,0,Matches
35,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,26-334,1994,0.4,1,2.50,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,Matches
36,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-141,1995,8.1,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
37,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-132,1996,18.7,17,0.91,15,1,0,0,1,0,4,0.21,4,0,0,0,0,0,0,Matches
38,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-256,2001,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0,0,Matches
39,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-256,2001,7.7,12,1.56,10,0,2,0,0,0,1,0.13,1,0,0,0,0,0,0,Matches
40,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-100,1993,23.0,8,0.35,6,0,1,1,0,0,2,0.09,1,0,0,1,0,0,0,Matches
41,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26-358,1994,21.7,48,2.22,35,0,1,7,5,0,7,0.32,4,0,1,0,2,0,0,Matches
42,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-213,1995,18.4,12,0.65,8,1,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
43,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,27-342,1993,4.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
44,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-043,2001,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
45,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,25-365,1995,5.2,2,0.38,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
46,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-059,1997,4.1,5,1.21,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,0,Matches
47,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28-129,1992,7.4,17,2.31,12,0,1,0,1,3,1,0.14,1,0,0,0,0,0,0,Matches
48,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25-304,1995,10.5,5,0.48,4,1,0,0,0,0,1,0.10,1,0,0,0,0,0,0,Matches
49,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-238,1992,19.1,29,1.52,25,1,0,2,0,1,3,0.16,2,1,0,0,0,0,0,Matches
50,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-203,1998,9.1,10,1.09,7,1,0,0,2,0,3,0.33,2,0,0,0,1,0,0,Matches
51,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-145,2001,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0,0,Matches
52,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-132,1992,9.9,17,1.72,13,0,1,1,2,0,1,0.10,0,0,0,1,0,0,0,Matches
53,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,31-333,1989,18.3,48,2.62,47,1,0,0,0,0,6,0.33,6,0,0,0,0,0,0,Matches
54,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,28-142,1992,16.4,71,4.32,52,15,3,0,1,0,1,0.06,0,0,1,0,0,0,0,Matches
55,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,35-166,1985,22.8,7,0.31,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
56,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,eng Premier League,31-091,1989,12.4,41,3.31,31,0,4,1,2,3,6,0.48,5,0,0,1,0,0,0,Matches
57,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,27-171,1993,10.8,17,1.57,13,0,1,2,1,0,7,0.65,4,0,1,2,0,0,0,Matches
58,Pedro Alcalá\Pedro-Alcala,es ESP,DF,Cádiz,es La Liga,31-335,1989,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
59,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,eng Premier League,29-312,1991,9.1,26,2.85,21,2,1,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
60,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MFDF,Valladolid,es La Liga,29-292,1991,13.3,14,1.05,14,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
61,Omar Alderete\Omar-Alderete,py PAR,DF,Hertha BSC,de Bundesliga,24-053,1996,11.3,5,0.44,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
62,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,31-352,1989,13.9,11,0.79,8,0,0,3,0,0,3,0.22,3,0,0,0,0,0,0,Matches
63,Iván Alejo\Ivan-Alejo,es ESP,MFFW,Cádiz,es La Liga,26-007,1995,3.8,9,2.36,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
64,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,23-043,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
65,Carles Aleñá\Carles-Alena,es ESP,MFFW,Getafe,es La Liga,23-043,1998,5.6,16,2.88,8,3,1,2,1,1,2,0.36,2,0,0,0,0,0,0,Matches
66,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,eng Premier League,25-365,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
67,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22-133,1998,20.5,60,2.93,39,16,2,3,0,0,6,0.29,6,0,0,0,0,0,0,Matches
68,Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,FWMF,Angers,fr Ligue 1,17-029,2004,2.1,3,1.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
69,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,eng Premier League,29-005,1992,15.6,31,1.99,28,1,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
70,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-244,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
71,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-138,1992,20.0,3,0.15,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
72,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-087,1993,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
73,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-040,1991,11.4,17,1.49,12,0,3,1,1,0,1,0.09,1,0,0,0,0,0,0,Matches
74,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,24-312,1996,1.2,3,2.60,1,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0,Matches
75,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-007,1994,16.2,40,2.47,31,0,3,2,2,2,3,0.18,3,0,0,0,0,0,0,Matches
76,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-051,1990,5.8,17,2.92,14,0,0,2,1,0,1,0.17,1,0,0,0,0,0,0,Matches
77,Sergio Álvarez\Sergio-Alvarez,es ESP,MF,Eibar,es La Liga,29-025,1992,12.2,8,0.65,8,0,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
78,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-024,1995,14.0,8,0.57,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
79,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-082,1981,15.0,5,0.33,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
80,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-162,1998,7.5,20,2.67,17,0,1,2,0,0,1,0.13,1,0,0,0,0,0,0,Matches
81,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,27-317,1993,9.7,15,1.54,11,0,0,2,0,2,2,0.21,1,0,0,1,0,0,0,Matches
82,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-174,1989,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
83,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-058,1994,4.1,2,0.49,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
